date,period,launched,intercepted,shaheds_estimated,missiles_intercepted,hits,hit_locations,posted_at,message_id,source
2026-04-19,night,236.0,203,150.0,0,32,18,2026-04-19T05:13:27+00:00,60307,UA Air Force TG summary
2026-04-20,night,142.0,113,100.0,0,28,18,2026-04-20T05:02:12+00:00,60357,UA Air Force TG summary
2026-04-22,night,215.0,189,140.0,0,24,13,2026-04-22T05:15:01+00:00,60485,UA Air Force TG summary
2026-04-23,night,155.0,139,100.0,0,11,9,2026-04-23T05:00:03+00:00,60538,UA Air Force TG summary
2026-04-24,night,107.0,96,70.0,0,0,0,2026-04-24T05:05:20+00:00,60608,UA Air Force TG summary
2026-04-26,night,144.0,124,100.0,0,19,11,2026-04-26T05:00:08+00:00,60785,UA Air Force TG summary
2026-04-27,night,94.0,74,60.0,0,20,15,2026-04-27T06:02:25+00:00,60825,UA Air Force TG summary
2026-04-28,night,123.0,95,80.0,0,19,16,2026-04-28T05:19:13+00:00,60874,UA Air Force TG summary
2026-04-29,night,171.0,154,120.0,0,12,10,2026-04-29T05:03:22+00:00,60919,UA Air Force TG summary
2026-04-30,night,206.0,172,140.0,0,32,22,2026-04-30T05:09:07+00:00,60969,UA Air Force TG summary
2026-05-01,day,409.0,388,250.0,0,16,6,2026-05-01T13:02:34+00:00,61079,UA Air Force TG summary
2026-05-01,night,210.0,190,140.0,0,20,14,2026-05-01T05:03:59+00:00,61032,UA Air Force TG summary
2026-05-02,day,227.0,220,135.0,0,7,6,2026-05-02T16:26:12+00:00,61156,UA Air Force TG summary
2026-05-02,night,163.0,142,100.0,0,17,12,2026-05-02T05:02:00+00:00,61121,UA Air Force TG summary
2026-05-03,day,234.0,175,,5,0,0,2026-05-03T16:30:45+00:00,61223,UA Air Force TG summary
2026-05-03,night,268.0,249,160.0,0,19,15,2026-05-03T05:05:08+00:00,61176,UA Air Force TG summary
2026-05-04,day,88.0,70,,0,14,0,2026-05-04T16:16:54+00:00,61289,UA Air Force TG summary
2026-05-04,night,155.0,135,,0,14,10,2026-05-04T06:31:31+00:00,61254,UA Air Force TG summary
2026-05-05,night,164.0,149,,0,0,0,2026-05-05T06:04:02+00:00,61341,UA Air Force TG summary
2026-05-06,night,108.0,89,,0,0,0,2026-05-06T05:04:00+00:00,61423,UA Air Force TG summary
2026-05-07,night,102.0,92,,0,8,6,2026-05-07T05:01:51+00:00,61484,UA Air Force TG summary
2026-05-08,night,67.0,56,,0,11,8,2026-05-08T05:09:13+00:00,61569,UA Air Force TG summary
2026-05-09,night,43.0,34,,0,0,0,2026-05-09T05:03:59+00:00,61592,UA Air Force TG summary
2026-05-10,night,27.0,27,,0,0,0,2026-05-10T05:02:02+00:00,61612,UA Air Force TG summary
2026-05-12,night,216.0,192,,0,25,10,2026-05-12T06:47:32+00:00,61648,UA Air Force TG summary
2026-05-13,day,753.0,710,,0,27,0,2026-05-13T15:46:37+00:00,61764,UA Air Force TG summary
2026-05-13,night,139.0,111,,0,20,13,2026-05-13T05:31:03+00:00,61715,UA Air Force TG summary
2026-05-14,night,675.0,652,,41,0,0,2026-05-14T05:05:02+00:00,61846,UA Air Force TG summary
2026-05-15,night,141.0,130,,1,7,6,2026-05-15T06:23:14+00:00,61910,UA Air Force TG summary
2026-05-16,night,294.0,269,,0,20,15,2026-05-16T06:12:34+00:00,62020,UA Air Force TG summary
2026-05-17,night,287.0,279,,0,8,7,2026-05-17T05:12:19+00:00,62080,UA Air Force TG summary
2026-05-18,night,524.0,503,,4,0,0,2026-05-18T05:46:05+00:00,62173,UA Air Force TG summary
2026-05-19,night,209.0,180,,0,27,15,2026-05-19T05:34:18+00:00,62230,UA Air Force TG summary
2026-05-20,day,84.0,75,,0,6,0,2026-05-20T14:27:02+00:00,62328,UA Air Force TG summary
2026-05-20,night,154.0,131,,0,23,20,2026-05-20T05:40:26+00:00,62285,UA Air Force TG summary
2026-05-21,night,116.0,109,,0,5,5,2026-05-21T05:37:06+00:00,62362,UA Air Force TG summary
2026-05-22,night,124.0,115,,0,7,5,2026-05-22T05:10:35+00:00,62415,UA Air Force TG summary
2026-05-23,night,124.0,102,,0,12,9,2026-05-23T05:31:04+00:00,62474,UA Air Force TG summary
2026-05-24,night,600.0,549,,0,0,0,2026-05-24T06:52:10+00:00,62647,UA Air Force TG summary
2026-05-25,night,262.0,246,,0,10,9,2026-05-25T05:08:18+00:00,62715,UA Air Force TG summary
2026-05-27,night,163.0,150,,0,8,7,2026-05-27T05:30:58+00:00,62966,UA Air Force TG summary
2026-05-28,night,147.0,138,,0,0,0,2026-05-28T05:28:05+00:00,63042,UA Air Force TG summary
2026-05-29,night,232.0,217,,0,14,14,2026-05-29T05:58:32+00:00,63176,UA Air Force TG summary
2026-05-30,night,290.0,284,,0,9,7,2026-05-30T06:03:36+00:00,63300,UA Air Force TG summary
2026-05-31,night,229.0,212,,0,14,11,2026-05-31T05:32:25+00:00,63369,UA Air Force TG summary
2026-06-01,night,265.0,228,,0,27,18,2026-06-01T05:12:10+00:00,63463,UA Air Force TG summary
