week_start,site,mentions
2026-06-08,Bryansk,5
2026-06-08,Chauda (Crimea),4
2026-06-08,Donetsk (occupied),2
2026-06-08,Gvardiyske (Crimea),7
2026-06-08,Kursk,6
2026-06-08,Millerovo,5
2026-06-08,Orel,7
2026-06-08,Primorsko-Akhtarsk,6
2026-06-08,Voronezh,1
2026-06-15,Bryansk,8
2026-06-15,Chauda (Crimea),3
2026-06-15,Donetsk (occupied),1
2026-06-15,Gvardiyske (Crimea),3
2026-06-15,Kursk,8
2026-06-15,Millerovo,4
2026-06-15,Orel,7
2026-06-15,Primorsko-Akhtarsk,6
2026-06-15,Rostov,1
2026-06-15,Shatalovo,1
2026-06-15,Voronezh,2
2026-06-22,Bryansk,5
2026-06-22,Donetsk (occupied),3
2026-06-22,Gvardiyske (Crimea),4
2026-06-22,Kursk,6
2026-06-22,Millerovo,3
2026-06-22,Orel,4
2026-06-22,Primorsko-Akhtarsk,4
2026-06-22,Shatalovo,1
2026-06-29,Bryansk,5
2026-06-29,Chauda (Crimea),1
2026-06-29,Donetsk (occupied),1
2026-06-29,Gvardiyske (Crimea),2
2026-06-29,Kursk,5
2026-06-29,Millerovo,3
2026-06-29,Orel,4
2026-06-29,Primorsko-Akhtarsk,4
2026-06-29,Shatalovo,1
2026-06-29,Voronezh,1
2026-07-06,Bryansk,2
2026-07-06,Donetsk (occupied),1
2026-07-06,Kursk,3
2026-07-06,Millerovo,1
2026-07-06,Orel,2
2026-07-06,Primorsko-Akhtarsk,1
2026-07-06,Shatalovo,1
