oblast,lat,lon,border_dist,pop,energy,area,target_weight,share
Kyiv City,50.45,30.52,280,3.0,9,0.005,4.6448779556871145,0.07502049829320594
Kyiv Oblast,50.1,30.6,260,1.8,6,0.05,3.333068665141524,0.05383316300016722
Kharkiv,49.99,36.23,30,2.6,7,0.05,4.4916152294928295,0.07254511655044289
Odesa,46.48,30.73,220,2.4,6,0.06,3.5654247155707295,0.05758599931813709
Lviv,49.84,24.03,900,2.5,5,0.04,1.0132395347371188,0.016365066103251388
Dnipropetrovsk,48.45,35.05,150,3.1,8,0.05,4.605933918186459,0.07439150413518478
Donetsk,48.0,37.8,10,4.0,4,0.04,3.862964868042499,0.062391639146270446
Zaporizhzhia,47.85,35.12,60,1.6,6,0.04,3.7910619646375863,0.06123031872114275
Mykolaiv,46.97,31.99,120,1.1,5,0.04,3.136227331022577,0.050653933080418254
Kherson,46.65,32.62,40,1.0,3,0.04,2.657256127053939,0.04291795837179785
Poltava,49.59,34.55,150,1.4,6,0.05,3.4809339181864583,0.05622136890557749
Sumy,50.91,34.8,25,1.0,4,0.04,3.0591195942202134,0.049408548187131224
Chernihiv,51.5,31.3,40,1.0,4,0.05,3.0072561270539393,0.048570889332120115
Vinnytsia,49.23,28.47,500,1.5,5,0.04,2.554757195290285,0.04126247441532151
Cherkasy,49.44,32.06,300,1.2,5,0.04,2.758549829111522,0.04455397638450347
Kirovohrad,48.51,32.26,300,0.9,4,0.04,2.3335498291115218,0.03768970307554072
Zhytomyr,50.27,28.66,450,1.2,4,0.05,2.1869787010375243,0.03532239888188683
Rivne,50.62,26.25,650,1.1,6,0.03,2.6703675128062905,0.04312972339594698
Volyn,50.75,25.32,800,1.0,3,0.03,0.6012011699419676,0.009710139162705475
Ternopil,49.55,25.59,750,1.0,3,0.02,0.612012980106957,0.00988476320961632
Khmelnytskyi,49.42,26.99,600,1.2,4,0.03,2.0346952402226446,0.03286283348078553
Ivano-Frankivsk,48.92,24.71,900,1.3,3,0.02,0.6132395347371186,0.009904573577168795
Chernivtsi,48.29,25.94,800,0.9,2,0.01,0.45120116994196763,0.007287454465424504
Zakarpattia,48.62,22.3,1000,1.2,2,0.02,0.44925099917433925,0.007255956806252384
